Item Name,SKU/Code,Unit Size,Unit,Price,LastOrderDate,Brand
Shishito Peppers,SW88310,1x5 LB Case,,,,Packer
Olive Oil Salt Crackers,SW336920,12x4 Oz BC,,,,Jansal Valley
Rosemary,SW40500,4 Oz Case,,,,Packer
Pink Orchid Blossoms,SW48200,1x50 Count Case,,,,Packer
Unsalted Butter Prints,SW95010,36x1 LB BC,,,,Cabot Creamery
Multi Variety Blend,SW38340,1x8 Oz Case,,,,Packer
Romaine Hearts Lettuce,SW23110,12 x 3 Count Case,,,,Packer
Lemons,SW5700,1x165 Count Case,,,,Packer
Demerara Sugar,GS550,10 x 1 LB Case,,,,Billington's
Micro Marigold Blossoms,SW38670,1x200 Count Case,,,,Flavour Fields
Chives,SW40150,1x4 Oz Case,,,,Packer
Honeycrisp Apples,SW88220,8x5 LB BC,,,,Packer
Extra Virgin Olive Oil Potato Chips,10498842,20 x 50 Gram Case,,,,Torres
Limes,SW6000,1x200 Count Case,,,,Packer
Ripe Pineapples,SW88630,1x3 Count Case,,,,Packer
Cilantro Microgreens,SW49460,1x4 Oz Case,,,,Flavour Fields
Shishito peppers,10952785,1x10 LB Case,,,,Packer
Club Soda Fever Tree,10493582,8x500 ML Case,,,,Fever Tree
Dijon Mustard Micro Greens,SW38280,1x4 Oz Case,,,,Packer
Bonito Flakes,SW161320,10x3.5 Oz BC,,,,KANESO 22
Peeled Black Garlic,10607391,6 x 1 LB Case,,,,Calpac
Rainbow Fingerling Potatoes,SW28140,1x20 LB Case,,,,Packer
Fresh Basil,SW40020,1x1 LB Case,,,,Packer
Red Cabbage,SW81890,1x3 Count Case,,,,Packer
Veal Demi Glace,SW346590,4x5 LB BC,,,,Jansal Valley
Mint,SW66850,1x1 LB Case,,,,Packer
Fresh Lemon Juice,DM360,16 x 32 Oz Case,,,,Natalie's Orchid Island
Crème Fraiche,D112,4 x 3 LB Case,,,,Grand Reserve
SPC MSG,SW103270,30x16 Oz BC,,,,Ajinomoto
Smoked Vermont Cheddar Cheese,360129,2 x 5 LB Case,,,,Grafton Village Cheese
Passionfruit Puree,4404BO0720,6 x 1 KG Case,,,,Boiron
Fresh Rosemary,SW64090,1x1 LB Case,,,,Packer
Cut Top Basil,SW40830,1x4 Oz Case,,,,Packer
Anise Fennel,SW13460,1x3 Count Case,,,,Packer
Spanish Onions,SW88410,5x10 LB BC,,,,Packer
Pure Clover Honey,GH100,1 x 5 LB Piece,,,,Bears Club
"Sir Galahad All Purpose, Low Protein Flour",GF298,50 LB Case,,,,King Arthur Baking
Grade A Coconut Milk,GD202,24x13.5 Oz CAN Case,,,,Mt Thai
Nduja Spreadable Salami,10442996,5x1.5 LB BC CW,,,,Tempesta
Burrata Cheese Ball,930710,6 x 8 Oz (2-4oz) Case,,,,BelGioioso
Marinated Anchovies Boquerones,10468774,4 x 1 KG Case,,,,Silano
Tomato Paste,109361,12x130 GR Case,,,,Mutti
Granulated Sugar,QG52622,1x25 LB Case,,,,Domino
Bourbon Vanilla Extract,GB335AN,1 Quart Piece,,,,Crescendo
Vidalia Onions,SW88690,12 x 3 LB Case,,,,Packer
Strawberries,SW12500,8x1 LB BC,,,,Packer
Lemon Juice,SW5290,16x1 QT BC,,,,Jansal Valley
Aji Mirin Sweet Rice Seasoning,GS121,6 x 60 Oz Case,,,,Kikkoman
Lime Juice,SW5810,16x1 QT BC,,,,Jansal Valley
Saute Oil La Padella,10770682,1x10 LT Case,,,,Corto
Ras El Hanout,SW107910,6x16 Oz BC,,,,Jansal Valley
Fresh Celery,SW18930,1x3 Count Case,,,,Packer
Instant Yeast - Red,918051,20 x 1 LB Case,,,,Saf
Orange Marmalade,GJ040M,60x1 Oz JARS,,,,Bonne Maman
Foie Gras Bratwurst Sausage,SW339940,5x18 Oz BC CW,,,,Bella Bella
Muscato Red Grapes,1096408,10x2 LB BC,,,,Packer
"Hydroponic Firecracker Mizuna, Local",SW39920,1x1 TRAY Case,,,,Lakeville Specialty
Fried & Salted Marcona Almonds,10291147,2 x 2.3 KG Case,,,,Almondeli
Tangerine & Chili Marinated Pitted Green Olives,10570947,2x7.4 LB BC,,,,Divina
Raw Pumpkin Seeds,VN160085,5 LB Case,,,,The Chefs' Warehouse
Avocado Oil,UF49985N,4x1 Gallon BC,,,,Packer
Togarashi,TOG20B,30x10.58 Oz BC,,,,JFC International
Red Grapefruit,SW88610,3 Count Case,,,,Packer
Shallots,SW88580,8x5 LB BC,,,,Packer
Ginger Root,SW88180,1x5 LB Case,,,,Packer
Lemons,SW88010,18 x 2 LB Case,,,,Packer
Flat Parsley,SW66500,4x3 Count BC,,,,Packer
Shredded Red Cabbage,SW60220,4x5 LB BC,,,,Packer
Mixed Variety Blossoms,SW48100,50 Count Case,,,,Packer
Thyme Microgreens,SW40985,1x3 Oz Case,,,,Packer
Fried Shallots,SW353010,6x31.5 Oz Case,,,,Packer
Orange Marmalade Preserve,SW352370,6x10 Oz Case,,,,Blake Hill Preserves
Rendered Duck Fat,SW346660,1x1.75 LB Piece,,,,Bella Bella
Freeze Dried Strawberries,SW339060,1x1.25 LB Case,,,,Amifruit
Malt Vinegar Powder,SW332000,6x14 Oz BC,,,,Jansal Valley
Scallion Green Onion,SW30700,4x12 Count BC,,,,Packer
Shallots,SW30600,4x10 LB BC,,,,Packer
Bagged Idaho Potatoes,SW28800,10x5 LB BC,,,,Packer
Thai Red Peppers,SW27340,1x8 Oz Case,,,,Packer
Imported Red Peppers,SW26740,1x11 LB Case,,,,Packer
Crimini Mushrooms,SW24460,5 LB Case,,,,Packer
Chs Swiss,SW230750N,2x8 LB BC CW,,,,Laubscher
Peeled Garlic,SW21500,4x5 LB BC,,,,Packer
Domestic Peeled Garlic,SW21420,4x5 LB BC,,,,Packer
FLOUR ALMOND BLANCHED,SW204230,1x5 LB Case,,,,Jansal Valley
Jumbo Cello Carrots,SW17610,10x5 LB BC,,,,Packer
Whole Milk,SW161000,9x.5 Gallon BC,,,,Dairy Pure
Puree Pear,SW152685,6x30 Oz BC,,,,Perfect Puree
Baby Bunched Golden Beets,SW14370,1x12 Count Case,,,,Packer
SPC GINGER POWDER,SW109210,6x12 Oz BC,,,,Jansal Valley
Fresh Pear Forelle,SW10430,1x20 LB Case,,,,Packer
Horseradish,SW102810,4x1 Gallon BC,,,,Packer
Tarragon Leaf,SPT100,1x2 Oz Piece,,,,The Chefs' Warehouse
Sea Salt,SPS152,1x3.1 LB Piece,,,,Maldon
Black Sesame Seeds,SPS112,16 Oz Piece,,,,The Chefs' Warehouse
Whole Black Pepper,SPP130,1x16 Oz Piece,,,,The Chefs' Warehouse
Oregano Leaves,SPO115,8 Oz Piece,,,,The Chefs' Warehouse
Ground Nutmeg,SPN100,16 Oz Piece,,,,The Chefs' Warehouse
Whole Yellow Mustard Seed,SPM105,16 Oz Piece,,,,The Chefs' Warehouse
Black Mustard Seed,SPM102SS,14 Oz Piece,,,,Kalustyan's
"3"" Round Sweet Tart Shell",QZ118852A,1x60 Count Case,,,,Crescendo
Siracha Sauce,QG44444,12x28 Oz BC,,,,Huy Fong Foods
Blanched And Roasted Skin Off Hazelnut/Filberts,NF102,6 x 4 LB Case,,,,Bazzini Nuts
Brown Single Fold Paper Towels,MTF4074,16x250 Count Case,,,,Retin
Waygu Hot Dog 5:1,MK114N,2x5 LB Case CW,,,,The Chefs' Warehouse
Tamari Gluten Free Soy Sauce,JFC21192,6x64 Oz Case,,,,Kikkoman
Red Wine Vinegar,GV332DS,2 x 5 L Case,,,,Delouis
Cornichons,GV125,9 LB Case,,,,St Luc
Nonpareil Capers,GV114,12 x 32 Oz Case,,,,BelAria
White Miso Paste,GSR363,10 x 1 KG Case,,,,Marukome
Light Brown Sugar,GS406,24 x 1 LB Case,,,,Domino
Tabasco Sauce,GS151,12 x 5 Oz Case,,,,Tabasco
32 Oz Mop Head,GP515,1x1 Count Piece,,,,H. Berger
16 Oz Plastic Take Out Container with Lid,GP337,250x16 Oz Case,,,,Packer
10x10 2 Ply Black Beverage Napkins,GP317,1000 Count Case,,,,Hoffmaster
Pitted Spanish Queen Olives,GO265,4x1 Gallon BC,,,,Dairyland
10% Olive and Canola Oil Blend,GO196,6x1 Gallon BC,,,,Spoleto
Unsweetened Pumpkin Puree,GF327,6x#10 CAN BC,,,,Libbys
Japanese Bread Crumbs,GF215,1x25 LB Case,,,,Golden Dipt
Cocoa Nibs,GCV3285,10 x 1 KG Case,,,,Valrhona
Rice Krispies,GC140,4 x 1.625 LB Case,,,,Rice Krispies
Silver Gelatin Sheets,GB304,2.2 LB Case,,,,Gelita
Tahitian Vanilla Beans,GB142,8 Oz Piece,,,,Crescendo
French Roll,FB620,96x1.5 Oz,,,,La Brea
Kombu Dashi Seaweed,F603A,10 x 2.2 LB Case,,,,JFC International
French Demi Baguette,EI820705,60x3.75 Oz,,,,Tribeca Oven
Large Cage Free Eggs,EGGLCF15,15 Dozen Case,,,,Sauder
40% Heavy Cream UHT,DM120,1 Quart Each,,,,Byrne Dairy
40% Heavy Cream,DM116,1 Quart Each,,,,Grand Reserve
Grated Parmesan Cheese,CP100,5 LB Piece,,,,Cheese Merchants
Grapeseed Oil,BC701701N,4 x 3 L Case,,,,Spoleto
Balsamic Vinegar,BC109508,2 x 5 L Case,,,,BelAria
Boneless 0x1 Angus Striploin,AB180S,2 x 12 LB Case,,,,Allen Brothers
Beef Top Round,AB168,20 LB Case,,,,Allen Brothers
Standard Brioche Hot Dog Bun,934178,1x4 DZ Case,,,,Brick City Bakery
Ginger Beer,930668,8 x 500 mL Case,,,,Fever Tree
Ultratex 3 Tapioca Starch,927615,400g Piece,,,,Chef Rubber
Creme Fraiche Tub,926085,2 x 4.75 LB Case,,,,Vermont Creamery
Tapioca Maltodextrin,924808,500 Gram Piece,,,,Chef Rubber
Sparkling Spring Water,922962,12x28 Oz Case,,,,Saratoga
McLure's Very Dark Color Strong Taste Grade A Maple Syrup,917168,4 X 1 Gal Case,,,,McClure's
Agar Agar,913895,1 LB Case,,,,Pastry Star
Xanthan Gum,913500,1x1 LB BAG Piece,,,,Pastry Star
100% Pear Puree,4404BO0735N,6x1 KG BC,,,,Boiron
FRIED ONION,1118317,24/7 OZ JAR CS,,,,PRATEEP
Soda Ginger Ale,1117916,12x12 Oz CAN Case,,,,Canada Dry
8.75 Oz Caviar Kaluga Hybrid,1112822,8.75 Oz,,,,Sasanian
Organic Koginut Squash,1112601,1x35 LB Case,,,,Row 7
Prd Pepper Red,1111100,1x5 LB Case,,,,Packer
Mayo Red Label,1110183,4x64 Oz BC,,,,Kewpie
Fresh Lime,1109140,1x2 LB Case,,,,Packer
Yuzu Citrus,1105909,6x8 Oz BC,,,,Packer
Dry-Aged Beef Tallow,1101429N,2x2.5 LB Case,,,,Allen Brothers
Salty Fingers,1100682,1x50 Count Case,,,,Flavour Fields
Chanterelle Mushroom,1099720,1x3 LB Case,,,,Packer
Tomato Ketchup,10956541,72 x 1 Oz Case,,,,Tiptree
Pedro Ximenez Vinegar,10950747,6x2 LT BC,,,,Omed
Dried Orange Wheels,10922543,1x1 LB Case,,,,Garniche
Dried Lime Wheels,10922527,1 LB Case,,,,Garniche
Glass 500Ml Tonic Water,108744,8x500 ML Case,,,,Fever Tree
Baked Onion Beet Bread Roll,10774878,144x1.2 Oz Case,,,,Bridor
Truly Olive Oil,10753891,1x10 LT Case,,,,Corto
Smooth Dijon Mustard,10624167,6 x 1 Gal Case,,,,Grand Reserve
Split-Top Hot Dog Buns,10522232,8x8 Count Case,,,,Martin's
Grated Parmigiano Reggiano,10513758,6x5 LB BC CW,,,,Cello
Apple Cider Vinegar,10507526,4x1 Gallon BC,,,,Musselman'S
Thyme,10507331,1x1 KG Case,,,,Packer
DOP San Marzano Whole Peeled Tomatoes,10364326,6 x 3 KG Case,,,,La Valle
Fish Sauce,103605,12 x 24 Oz Case,,,,Three Crabs
Black Truffle Summer Peelings,10334881,6 x 8.8 Oz Case,,,,Sabatino
Canned Sprite,10266355,12x12 Oz CAN Case,,,,Coca Cola
Espresso Gelato,10231030,5 L Case,,,,Villa Dolce
Organic Virgin Coconut Oil,10230117,6 x 14 Oz Case,,,,La Tourangelle
Sparkling Water,10229052,12 x 1 Liter Case,,,,Mountain Valley
